Date,Symbol,SecurityName,Quantity
05-FEB-2026,INOXWIND,INOX WIND LIMITED,15150
05-FEB-2026,IOC,INDIAN OIL CORP LTD,38916
05-FEB-2026,IRCTC,INDIAN RAIL TOUR CORP LTD,70
05-FEB-2026,IREDA,INDIAN RENEWABLE ENERGY,3500
05-FEB-2026,IRFC,IRFC,71962
05-FEB-2026,ITC,ITC LTD,882
05-FEB-2026,JINDALSAW,JINDAL SAW LIMITED,400
05-FEB-2026,JINDALSTEL,JINDAL STEEL & POWER LTD,1340
05-FEB-2026,JIOFIN,JIO FIN SERVICES LTD,11448
05-FEB-2026,JSWENERGY,JSW ENERGY LIMITED,4333
05-FEB-2026,JSWSTEEL,JSW STEEL LIMITED,107
05-FEB-2026,JUBLFOOD,JUBILANT FOODWORKS LTD,6310
05-FEB-2026,KALYANKJIL,KALYAN JEWELLERS IND LTD,5975
05-FEB-2026,KAYNES,KAYNES TECHNOLOGY IND LTD,147
05-FEB-2026,KEI,KEI INDUSTRIES LTD.,12431
05-FEB-2026,KFINTECH,KFIN TECHNOLOGIES LIMITED,500
05-FEB-2026,KNRCON,KNR CONSTRU LTD,100
05-FEB-2026,KOTAKBANK,KOTAK MAHINDRA BANK LTD,74
05-FEB-2026,KPITTECH,KPIT TECHNOLOGIES LTD,300
05-FEB-2026,LICI,LIFE INSURA CORP OF INDIA,2630
05-FEB-2026,LLOYDSENGG,LLOYDS ENGG WORK LIMITED,31330
05-FEB-2026,LLOYDSME,LLOYDS METALS N ENERGY L,73
05-FEB-2026,LODHA,LODHA,8
05-FEB-2026,LT,LARSEN & TOUBRO LTD.,1
05-FEB-2026,LTF,L&T FINANCE LIMITED,10
05-FEB-2026,LTIM,LTIMINDTREE LIMITED,1077
05-FEB-2026,LUPIN,LUPIN LIMITED,49
05-FEB-2026,M&M,MAHINDRA & MAHINDRA LTD,2109
05-FEB-2026,MAHABANK,MAHABANK,300
05-FEB-2026,MANKIND,MANKIND PHARMA LIMITED,29
05-FEB-2026,MARICO,MARICO LIMITED,546
05-FEB-2026,MAXHEALTH,MAX HEALTHCARE INS LTD,502
05-FEB-2026,MAZDOCK,MAZAGON DOCK SHIPBUIL LTD,222
05-FEB-2026,MCX,MULTI COMMODITY EXCHANGE OF INDIA LIMITED,50
05-FEB-2026,MOTHERSON,SAMVRDHNA MTHRSN INT,33405
05-FEB-2026,MPHASIS,MPHASIS LIMITED,21
05-FEB-2026,MUTHOOTFIN,MUTHOOT FINANCE LIMITED,274
05-FEB-2026,NAUKRI,INFO EDGE (I) LTD,99
05-FEB-2026,NBCC,NATIONAL BUILDINGS LTD,56280
05-FEB-2026,NCC,NCC LIMITED,2700
05-FEB-2026,NHPC,NHPC LTD,7559
05-FEB-2026,NMDC,NMDC LTD.,60296
05-FEB-2026,NUVAMA,NUVAMA WEALTH MANAGE LTD,28
05-FEB-2026,NYKAA,FSN E COMMERCE VENTURES,213
05-FEB-2026,OBEROIRLTY,OBEROI REALTY LIMITED,1323
05-FEB-2026,OFSS,Oracle Financial Services Software Limited,21
05-FEB-2026,OIL,OIL INDIA LTD,1367
05-FEB-2026,ONGC,OIL AND NATURAL GAS CORP.,2535
05-FEB-2026,PAGEIND,PAGE INDUSTRIES LTD,1
05-FEB-2026,PAYTM,ONE 97 COMMUNICATIONS LTD,1772
05-FEB-2026,PERSISTENT,PERSISTENT SYSTEMS LTD,1269
05-FEB-2026,PFC,POWER FIN CORP LTD.,4527
05-FEB-2026,PFOCUS,PRIME FOCUS LIMITED,700
05-FEB-2026,PGEL,PG ELECTROPLAST LTD,4811
05-FEB-2026,PIDILITIND,PIDILITE INDUSTRIES LIMITED,122
05-FEB-2026,PNB,PUNJAB NATIONAL BANK,55610
05-FEB-2026,PNBHOUSING,PNB HOUSING FIN LTD.,285
05-FEB-2026,POLICYBZR,PB FINTECH LIMITED,1912
05-FEB-2026,POLYCAB,POLYCAB INDIA LIMITED,7
05-FEB-2026,POWERGRID,POWER GRID CORP. LTD.,30
05-FEB-2026,POWERINDIA,ABB POWER PRO N SYS IND L,5
05-FEB-2026,PPLPHARMA,PIRAMAL PHARMA LIMITED,4524
05-FEB-2026,PREMIERENE,PREMIER ENERGIES LIMITED,25
05-FEB-2026,PRESTIGE,PRESTIGE ESTATES PROJECTS LIMITED,110
05-FEB-2026,QPOWER,QUALITY POWER ELEC EQUP L,12300
05-FEB-2026,RAILTEL,RAILTEL,500
05-FEB-2026,RELIANCE,RELIANCE INDUSTRIES LTD,1390
05-FEB-2026,RRKABEL,R R KABEL LIMITED,5
05-FEB-2026,RVNL,RVNL,60553
05-FEB-2026,SAIL,STEEL AUTHORITY OF INDIA,3639
05-FEB-2026,SAMMAANCAP,SAMMAAN CAPITAL LIMITED,4134
05-FEB-2026,SAPPHIRE,SAPPHIRE FOODS INDIA LTD,30
05-FEB-2026,SBICARD,SBI CARDS & PAY SER LTD,2
05-FEB-2026,SBIN,STATE BANK OF INDIA,625
05-FEB-2026,SEPC,SEPC LIMITED,2000
05-FEB-2026,SHRIRAMFIN,SHRIRAM FINANCE LIMITED,348
05-FEB-2026,SIEMENS,SIEMENS LTD,10
05-FEB-2026,SJS,SJS ENTERPRISES LIMITED,1
05-FEB-2026,SOLARINDS,SOLAR INDUSTRIES (I) LTD,162
05-FEB-2026,SONACOMS,SONA BLW PRECISION FRGS L,1151
05-FEB-2026,SRF,SRF LTD,1016
05-FEB-2026,STLTECH,STERLITE TECHNOLOGIES,650
05-FEB-2026,SUPREMEIND,SUPREME INDUSTRIES LTD,1050
05-FEB-2026,SUZLON,SUZLON ENERGY LIMITED,8456
05-FEB-2026,SWIGGY,SWIGGY LIMITED,1400
05-FEB-2026,TATAELXSI,TATA ELXSI LIMITED,6382
05-FEB-2026,TATAPOWER,TATA POWER CO LTD,6914
05-FEB-2026,TATASTEEL,TATA STEEL LIMITED,13283
05-FEB-2026,TATATECH,TATA TECHNOLOGIES LIMITED,1742
05-FEB-2026,TBOTEK,TBO TEK LIMITED,2
05-FEB-2026,TCS,TATA CONSULTANCY SERV LT,3717
05-FEB-2026,TECHM,TECH MAHINDRA LIMITED,266
05-FEB-2026,TECHNOE,TECHNOE,1
05-FEB-2026,TIINDIA,TUBE INVEST OF INDIA LTD,290
05-FEB-2026,TITAN,TITAN INDUSTRIES LTD,2
05-FEB-2026,TMPV,TATA MOTORS PASS VEH LTD,547
05-FEB-2026,TORNTPOWER,TORRENT POWER LTD,36
05-FEB-2026,TRENT,TRENT LIMITED,983
05-FEB-2026,UNIONBANK,UNION BANK OF INDIA,3800
05-FEB-2026,UNITDSPR,UNITED SPIRITS LIMITED,400
05-FEB-2026,UNOMINDA,UNO MINDA LIMITED,1010
05-FEB-2026,UPL,UPL LIMITED,5
05-FEB-2026,VBL,VARUN BEVERAGES LIMITED,552
05-FEB-2026,VEDL,VEDANTA LIMITED,61
05-FEB-2026,VOLTAS,VOLTAS LTD,50
05-FEB-2026,WAAREEENER,WAAREE ENERGIES LIMITED,136
05-FEB-2026,WELSPUNLIV,WELSPUN LIVING LIMITED,4
05-FEB-2026,WIPRO,WIPRO LTD,6980
05-FEB-2026,YESBANK,YES BANK LIMITED,240
05-FEB-2026,"Z,DUSLIFE","Z,DUS LIFESCIENCES",1
